t=2025-08-28T14:51:45-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-28T14:51:45-0500 lvl=info msg="using configuration at default config path" path="/Users/andresvelez/Library/Application Support/ngrok/ngrok.yml"
t=2025-08-28T14:51:45-0500 lvl=info msg="open config file" path="/Users/andresvelez/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-08-28T14:51:45-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-28T14:51:46-0500 lvl=info msg="update available" obj=updater
t=2025-08-28T14:51:47-0500 lvl=info msg=start pg=/api/tunnels id=0bb435807e39517c
t=2025-08-28T14:51:47-0500 lvl=info msg=end pg=/api/tunnels id=0bb435807e39517c status=200 dur=490.587µs
t=2025-08-28T14:51:47-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-28T14:51:47-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-28T14:51:47-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://e59e3b356644.ngrok-free.app
t=2025-08-28T14:52:04-0500 lvl=info msg=start pg=/api/tunnels id=42c529c3fe598bd8
t=2025-08-28T14:52:04-0500 lvl=info msg=end pg=/api/tunnels id=42c529c3fe598bd8 status=200 dur=181.593µs
t=2025-08-28T14:52:18-0500 lvl=info msg=start pg=/api/tunnels id=8bc746c9ace0d064
t=2025-08-28T14:52:18-0500 lvl=info msg=end pg=/api/tunnels id=8bc746c9ace0d064 status=200 dur=149.168µs
t=2025-08-28T14:52:31-0500 lvl=info msg=start pg=/api/tunnels id=a96c926838a1ace8
t=2025-08-28T14:52:31-0500 lvl=info msg=end pg=/api/tunnels id=a96c926838a1ace8 status=200 dur=148.479µs
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=a2c9261a5226 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=a60e4af56b24 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=9a06dddafef5 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=2bf0a1b44b48 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=95c16bc54ae1 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=ac41baf575be l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=3d8d07007354 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=a229db00fdda l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=41708cb85188 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:30-0500 lvl=info msg="join connections" obj=join id=89716b946499 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:31-0500 lvl=info msg="join connections" obj=join id=b237202b5450 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
